algorithm,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_RECALL,split1_test_RECALL,split2_test_RECALL,split3_test_RECALL,split4_test_RECALL,mean_test_RECALL,std_test_RECALL,rank_test_RECALL,split0_train_RECALL,split1_train_RECALL,split2_train_RECALL,split3_train_RECALL,split4_train_RECALL,mean_train_RECALL,std_train_RECALL,split0_test_PRECISION,split1_test_PRECISION,split2_test_PRECISION,split3_test_PRECISION,split4_test_PRECISION,mean_test_PRECISION,std_test_PRECISION,rank_test_PRECISION,split0_train_PRECISION,split1_train_PRECISION,split2_train_PRECISION,split3_train_PRECISION,split4_train_PRECISION,mean_train_PRECISION,std_train_PRECISION,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1
Adaptive Boosting,34.60564732551575,0.24144811680326242,1.0280884742736816,0.053581250661604074,20,{'classification__n_estimators': 20},0.873512734911614,0.8417141356647257,0.896456931418012,0.881999790782669,0.878211540515154,0.8743788137247326,0.0180443754091863,1,0.9205873896348566,0.9217145360550651,0.9157688403910001,0.9206145150121954,0.9183619434270333,0.9194094449040302,0.0021215302747620733,0.7558139534883721,0.6627906976744186,0.8372093023255814,0.7441860465116279,0.7790697674418605,0.7558137373080535,0.05648911476297465,1,0.8052325581395349,0.8459302325581395,0.8459302325581395,0.8343023255813954,0.8343023255813954,0.8331395348837208,0.014890986598681032,0.03670242800677583,0.029780564263322883,0.03777544596012592,0.03916768665850673,0.037430167597765365,0.036171179384165156,0.0032942677690612375,6,0.03988480921526278,0.039044679994633034,0.038193988712429454,0.04070921985815603,0.0400278940027894,0.03957211835665414,0.000869015463545689,0.07000538502961766,0.056999999999999995,0.07228915662650603,0.07441860465116279,0.07142857142857142,0.06902819871023796,0.006182045579296131,6,0.07600493894910139,0.07464409388226241,0.07308803214868768,0.07763051122531783,0.07639073729039127,0.07555166269915212,0.0015571944881577803
Adaptive Boosting,87.70043330192566,0.9875832764740734,2.2218880653381348,0.12254482117520653,50,{'classification__n_estimators': 50},0.8503440866775913,0.8328401206373557,0.8826112016666086,0.8598548990635345,0.8702275020540347,0.8591753439177002,0.01699075504216014,2,0.9444642884383421,0.9436276626288886,0.941148601088097,0.9428995320725606,0.9449536608008211,0.9434187490057419,0.0013353583502132562,0.6627906976744186,0.5813953488372093,0.7441860465116279,0.6627906976744186,0.6976744186046512,0.6697670527358917,0.05333733547965235,2,0.8837209302325582,0.875,0.877906976744186,0.8953488372093024,0.877906976744186,0.8819767441860465,0.007261625579533034,0.03512014787430684,0.031446540880503145,0.04099935938500961,0.03787375415282392,0.03929273084479371,0.03694644576871332,0.003357882832775614,5,0.04846938775510204,0.04829135247874218,0.04809683070552636,0.04904458598726115,0.049933862433862435,0.04876720387209883,0.0006637111130772419,0.06670567583382095,0.05966587112171838,0.07771706132361869,0.07165304839723445,0.07439553626782394,0.07002732715678618,0.0063127610423051,5,0.09189842805320435,0.09153109320358827,0.09119734259399064,0.09299516908212561,0.09449311639549436,0.09242302986568066,0.0011988051453619367
Adaptive Boosting,176.16463832855226,1.9583612755891828,4.416474294662476,0.08362281568127748,100,{'classification__n_estimators': 100},0.851357388166382,0.850460670827377,0.8784267023465012,0.8438628493221141,0.8668838386149812,0.8581983948954758,0.012623822560310298,3,0.9643155086521479,0.9636910868331102,0.9616216212166944,0.9646986910126225,0.9635380658890212,0.9635729947207192,0.0010622187535977185,0.6395348837209303,0.627906976744186,0.7325581395348837,0.5930232558139535,0.6395348837209303,0.6465127520446335,0.04627876136447571,3,0.9331395348837209,0.9476744186046512,0.938953488372093,0.936046511627907,0.9476744186046512,0.9406976744186046,0.0059858314773180345,0.04460665044606651,0.03997039230199852,0.04585152838427948,0.04285714285714286,0.042901716068642744,0.04323749932524797,0.0019819101274074604,4,0.06336360047374655,0.06210706801295485,0.059748427672955975,0.06401590457256462,0.0632395732298739,0.06249491479241918,0.001504404037115078,0.08339651250947688,0.07515657620041753,0.0863013698630137,0.07993730407523512,0.08040935672514618,0.08104025610837078,0.0037273562057837575,4,0.11866913123844733,0.11657428929018415,0.11234782608695652,0.11983624860439152,0.11856701218403345,0.11719890148080259,0.0026424221900487313
Adaptive Boosting,352.2276752948761,4.59262313116802,8.55583348274231,0.21715441030342525,200,{'classification__n_estimators': 200},0.8307002022244692,0.8300366531850354,0.872102829399254,0.8198813127515784,0.860089178887356,0.8425621311023396,0.019959260621196157,4,0.9810371626664808,0.9817346572973655,0.9802586954603055,0.9809932058177943,0.9807475697900512,0.9809542582063994,0.0004783179784038432,0.5465116279069767,0.5,0.6162790697674418,0.4883720930232558,0.6395348837209303,0.5581393187034023,0.06064310910504539,4,0.9912790697674418,0.9854651162790697,0.9825581395348837,0.9854651162790697,0.9767441860465116,0.9843023255813954,0.004723278142230217,0.047910295616717634,0.04405737704918033,0.05028462998102467,0.046822742474916385,0.05753138075313807,0.04932117898861782,0.004566685222366015,3,0.08712314767501278,0.08543346774193548,0.08113298127700432,0.08930453108535301,0.08506329113924051,0.08561148378370922,0.002694918020333457,0.0880974695407685,0.08097928436911488,0.09298245614035087,0.08545269582909461,0.1055662188099808,0.09061544297042007,0.00842577110360576,3,0.16016909347111322,0.1572356215213358,0.1498891352549889,0.163768115942029,0.15649743828598042,0.15751188089508947,0.004591577501886868
Adaptive Boosting,701.951954126358,7.6479276875962725,16.45772190093994,1.322846716119324,400,{'classification__n_estimators': 400},0.829300102855549,0.8080294881628952,0.846727798891252,0.8140864285511917,0.8565401119748591,0.8309366233562736,0.018526847793547643,5,0.9924896404136644,0.9919628760151196,0.9925129310955391,0.9923959067108825,0.9924264835271998,0.9923575675524811,0.00020178294451009772,0.4883720930232558,0.5,0.5,0.3953488372093023,0.5465116279069767,0.48604707369673533,0.049550496256083716,5,1.0,1.0,1.0,0.997093023255814,0.997093023255814,0.9988372093023254,0.0014241219434785943,0.05991440798858773,0.059639389736477116,0.05733333333333333,0.05582922824302135,0.06591865357643759,0.059726959928946374,0.0034438021187868104,2,0.1259150805270864,0.12049036777583187,0.11878453038674033,0.12468193384223919,0.12145892351274788,0.12226616720892913,0.002648675057581561,0.10673443456162643,0.10656753407682776,0.10287081339712918,0.09784172661870504,0.11764705882352941,0.10633226099020082,0.006516161948589275,2,0.22366710013003901,0.2150672085026571,0.2123456790123457,0.22164781906300488,0.21654040404040406,0.21785364214969016,0.004195677224529004
Adaptive Boosting,1108.5154948711395,86.44632511486189,22.71095461845398,3.448603607171469,800,{'classification__n_estimators': 800},0.8218692252710855,0.8208973274990412,0.8235046720825634,0.8111268750558457,0.8339217570768852,0.8222639617166845,0.007259302922737802,6,0.998426585046674,0.9983820467251939,0.9984069718408847,0.9983342785587463,0.9984017654740481,0.9983903295291094,3.140868049150863e-05,0.36046511627906974,0.43023255813953487,0.43023255813953487,0.3372093023255814,0.3488372093023256,0.3813967756273121,0.040547960357900724,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07029478458049887,0.07991360691144708,0.07312252964426877,0.07571801566579635,0.06423982869379015,0.07265785270616996,0.005266334756888969,1,0.19736087205966724,0.18356456776947705,0.19217877094972066,0.19196428571428573,0.18838992332968238,0.19069168396456662,0.00456952732875612,0.11764705882352942,0.13479052823315119,0.12499999999999997,0.1236673773987207,0.10849909584086799,0.12192102911790782,0.008678316527862353,1,0.3296597987541926,0.3101893597835888,0.32239925023430177,0.32209737827715357,0.3170506912442396,0.32027929565869534,0.0064501808124053876
