algorithm,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_RECALL,split1_test_RECALL,split2_test_RECALL,split3_test_RECALL,split4_test_RECALL,mean_test_RECALL,std_test_RECALL,rank_test_RECALL,split0_train_RECALL,split1_train_RECALL,split2_train_RECALL,split3_train_RECALL,split4_train_RECALL,mean_train_RECALL,std_train_RECALL,split0_test_PRECISION,split1_test_PRECISION,split2_test_PRECISION,split3_test_PRECISION,split4_test_PRECISION,mean_test_PRECISION,std_test_PRECISION,rank_test_PRECISION,split0_train_PRECISION,split1_train_PRECISION,split2_train_PRECISION,split3_train_PRECISION,split4_train_PRECISION,mean_train_PRECISION,std_train_PRECISION,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1
Adaptive Boosting,13.236678743362427,0.1516132113652471,0.5698822021484375,0.08353844874438274,20,{'classification__n_estimators': 20},0.8711717905582093,0.8593276036400405,0.8939236776960358,0.8711657110229202,0.8842341664977673,0.8759645253574917,0.011947570860397733,2,0.9137015880703765,0.9109001685101265,0.9095571406234166,0.9135652990044897,0.914741859484479,0.9124932111385778,0.001940322729399653,0.7558139534883721,0.6976744186046512,0.8372093023255814,0.7209302325581395,0.7790697674418605,0.758139837536167,0.048448613004647055,1,0.8284883720930233,0.813953488372093,0.811046511627907,0.811046511627907,0.8255813953488372,0.8180232558139535,0.007490755073677412,0.03437334743521946,0.03259098316132537,0.03736377789309808,0.03508771929824561,0.03580972741849278,0.0350450960337535,0.0015771548781276885,6,0.03771836950767602,0.038335158817086525,0.03707641196013289,0.03755047106325707,0.03782128112931149,0.0377003384954928,0.0004073557775593373,0.06575619625695499,0.062272963155163466,0.07153502235469449,0.06691851052347544,0.0684721512519162,0.06699094251813158,0.0030539595394728837,6,0.07215189873417721,0.07322175732217573,0.07091117041555471,0.07177772060715205,0.07232904622437285,0.07207831866068651,0.00075210697735072
Adaptive Boosting,33.08563117980957,0.06458573018792052,1.119904088973999,0.026174104715319283,50,{'classification__n_estimators': 50},0.8730229725253653,0.8753176100903036,0.8808095952023989,0.8840777983362864,0.8825528001342479,0.8791560006082083,0.0042624885615197465,1,0.9361355542201626,0.9351461088489336,0.9321120208248661,0.9374933262182648,0.9365366600364688,0.9354847340297393,0.0018468578288056605,0.7441860465116279,0.7674418604651163,0.8023255813953488,0.6744186046511628,0.7790697674418605,0.7534893665224888,0.043754899053493626,2,0.8575581395348837,0.8662790697674418,0.8575581395348837,0.8546511627906976,0.8604651162790697,0.8593023255813954,0.003943215106468187,0.040276903713027064,0.03784403669724771,0.04087677725118483,0.038487060384870604,0.041281577325939615,0.039753266201702386,0.0013506010260201915,5,0.045800341561869275,0.043707832208858904,0.04390534305700253,0.04604541895066562,0.04572841031978989,0.04503746921963724,0.001012420930567566,0.07641791044776121,0.07213114754098361,0.07779030439684329,0.07281858129315756,0.07840842598010532,0.0755132702049276,0.002572355486251148,5,0.08695652173913043,0.08321697849762635,0.08353390910378025,0.08738296923762817,0.08684171923133342,0.08558641956189973,0.0018170084265763547
Adaptive Boosting,66.16865739822387,0.5063746109216726,2.2511456966400147,0.03927605620538447,100,{'classification__n_estimators': 100},0.852458400160385,0.8697580715456226,0.8764850859453994,0.8494463368442617,0.8609511107042996,0.8618200472316075,0.010193966868282356,3,0.9526959440980051,0.952366469481307,0.9487692849569981,0.9536961446243915,0.9545930872696388,0.952424186086068,0.0019878378582823234,0.6627906976744186,0.7441860465116279,0.7325581395348837,0.6162790697674418,0.7093023255813954,0.6930243799516101,0.04743241531406686,3,0.9098837209302325,0.8924418604651163,0.9011627906976745,0.9156976744186046,0.8924418604651163,0.9023255813953488,0.009302325581395316,0.03988803358992302,0.04169381107491857,0.04085603112840467,0.0400604686318972,0.04357142857142857,0.04121393221536251,0.0013419646704592937,4,0.05429314830875976,0.05079417604235605,0.050292018170019465,0.0554968287526427,0.055096913137114144,0.05319461688217843,0.0022051248192585336,0.07524752475247524,0.07896360271437385,0.0773955773955774,0.07523066004258339,0.08209959623149395,0.07778735959043344,0.0025736664463466017,4,0.10247176297266328,0.09611772072636193,0.09526736324523662,0.10465116279069767,0.10378634212305612,0.10045887037160313,0.003962232882928764
Adaptive Boosting,133.51024136543273,0.9280527922648696,4.6145423412322994,0.30111059967189163,200,{'classification__n_estimators': 200},0.844292606603675,0.8702037062863917,0.8539233290331578,0.7978982375619208,0.8533451889820922,0.8439332945479289,0.02448583628565445,4,0.9700866604049693,0.968685473914981,0.9676386190559728,0.9707382591835323,0.9705598376718363,0.9695417700462583,0.0011933298123440845,0.6162790697674418,0.686046511627907,0.686046511627907,0.5232558139534884,0.6627906976744186,0.6348852774285264,0.061352185625436484,4,0.9622093023255814,0.9505813953488372,0.9534883720930233,0.9534883720930233,0.9622093023255814,0.9563953488372092,0.004864302479849285,0.04344262295081967,0.04652996845425868,0.045914396887159536,0.04128440366972477,0.048223350253807105,0.04507896053029165,0.00243990476637593,3,0.06861525704809288,0.06530856800479329,0.06539074960127592,0.0686336053567692,0.07030586236193713,0.06765080847457369,0.0019768317296355417,0.08116385911179173,0.08714918759231904,0.08606856309263312,0.07653061224489797,0.08990536277602525,0.08416355212116906,0.004749044483246221,3,0.12809597523219818,0.12222014576714633,0.12238805970149254,0.1280499707202811,0.13103721298495644,0.1263582728812149,0.003483119872710254
Adaptive Boosting,266.27552886009215,2.3473339664233364,8.42482395172119,0.6321611857820879,400,{'classification__n_estimators': 400},0.8383773229664238,0.8638787437676511,0.839976813918622,0.7917001741298412,0.8464998594321057,0.836087214454666,0.02396367563038274,5,0.9841926414520745,0.9833393988988276,0.9820337586856537,0.9835640418819301,0.9840811918665939,0.9834422065570159,0.0007720872262771958,0.5697674418604651,0.6046511627906976,0.6046511627906976,0.46511627906976744,0.5697674418604651,0.5627923838809037,0.051267604459797333,5,0.9883720930232558,0.9883720930232558,0.9854651162790697,0.9854651162790697,0.9883720930232558,0.9872093023255812,0.0014241219434785943,0.05152471083070452,0.053007135575942915,0.05078125,0.04716981132075472,0.05268817204301075,0.051034257049653045,0.0020911888151877943,2,0.0903054448871182,0.08508508508508508,0.08445440956651719,0.08977754237288135,0.09244154431756389,0.08841280524583314,0.0031118466725747803,0.09450337512054002,0.09746954076850983,0.0936936936936937,0.08565310492505353,0.09645669291338582,0.09355537445599851,0.004173696187877433,2,0.16549038695546361,0.15668202764976957,0.15557595227168425,0.16456310679611652,0.16907011437095973,0.16227631760879874,0.0052517863017158915
Adaptive Boosting,424.8837906837463,32.7778963736967,12.04728856086731,1.784868815554201,800,{'classification__n_estimators': 800},0.8361022976883651,0.8644540375161257,0.8307372476552422,0.7755152521613676,0.8386247883309035,0.8290875433178472,0.029201198368437847,6,0.9934683257622727,0.9926329257781812,0.9927371209339373,0.9932760287021647,0.9939012530910505,0.9932031308535214,0.00047017362061085307,0.4418604651162791,0.5,0.4883720930232558,0.38372093023255816,0.43023255813953487,0.44883876580061954,0.041989230611910205,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.05555555555555555,0.06142857142857143,0.057692307692307696,0.05238095238095238,0.05701078582434515,0.056813713321251395,0.0029441396995826567,1,0.12707794606575545,0.12268188302425106,0.12104152005629838,0.12797619047619047,0.130451270383011,0.12584576200110126,0.003474437547484698,0.09870129870129868,0.10941475826972011,0.1031941031941032,0.09217877094972067,0.10068027210884353,0.10083400441060009,0.0056335330126401715,1,0.22549983611930516,0.21855146124523506,0.21594475831763968,0.22691292875989444,0.2307950352230795,0.22354080393303075,0.005485004175234405
