algorithm,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__max_depth,param_classification__n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_RECALL,split1_test_RECALL,split2_test_RECALL,split3_test_RECALL,split4_test_RECALL,mean_test_RECALL,std_test_RECALL,rank_test_RECALL,split0_train_RECALL,split1_train_RECALL,split2_train_RECALL,split3_train_RECALL,split4_train_RECALL,mean_train_RECALL,std_train_RECALL,split0_test_PRECISION,split1_test_PRECISION,split2_test_PRECISION,split3_test_PRECISION,split4_test_PRECISION,mean_test_PRECISION,std_test_PRECISION,rank_test_PRECISION,split0_train_PRECISION,split1_train_PRECISION,split2_train_PRECISION,split3_train_PRECISION,split4_train_PRECISION,mean_train_PRECISION,std_train_PRECISION,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1
Random Forest,2.33111457824707,0.020727661316053053,0.12812113761901855,0.006250500723350428,2,20,"{'classification__max_depth': 2, 'classification__n_estimators': 20}",0.8247159578007006,0.8476379031655338,0.8699267711146705,0.8290390558939946,0.8547913848715014,0.8452220168959074,0.01667417245478459,7,0.8714934999759183,0.863038679913659,0.8607590573669085,0.8699424393353757,0.8654977479589848,0.8661462849101692,0.0040522469562859235,0.7887323943661971,0.8028169014084507,0.8309859154929577,0.7464788732394366,0.7857142857142857,0.7909457821107064,0.027399941948203197,3,0.8303886925795053,0.8162544169611308,0.8162544169611308,0.833922261484099,0.7922535211267606,0.8178146618225254,0.014668344542304024,0.024888888888888887,0.024879965080750764,0.027176416397973285,0.02286453839516825,0.028453181583031558,0.025652540216624508,0.0019554214549081027,7,0.026943361614308645,0.025177111716621254,0.026321786690975388,0.024647519582245432,0.029718663320565317,0.026561688584943212,0.0017748697291132013,0.04825506247307195,0.04826418289585098,0.05263157894736842,0.04437002930096275,0.05491762356465302,0.04968758740010453,0.0036979341237305943,7,0.05219322598556357,0.04884753647705646,0.050999006512860136,0.047879894501927374,0.05728835136855506,0.051441602969192514,0.003297278993314229
Random Forest,21.83247356414795,0.1978259014069976,0.8325445175170898,0.009348595869697147,2,200,"{'classification__max_depth': 2, 'classification__n_estimators': 200}",0.8286888116755888,0.8427147004386113,0.8771954377393274,0.8411832978936986,0.8613991408653776,0.8502360471277317,0.017054306516220995,6,0.8754010698136301,0.8690945721425649,0.8667423369791608,0.8747760038648295,0.8674162143289452,0.870686039425826,0.003680669339561585,0.8028169014084507,0.7746478873239436,0.8591549295774648,0.7464788732394366,0.8285714285714286,0.8023334620293804,0.039506100812440534,1,0.8162544169611308,0.8162544169611308,0.823321554770318,0.8409893992932862,0.8028169014084507,0.8199273378788634,0.012448926633850941,0.023582954075299957,0.025392428439519853,0.026259147653895823,0.023724261414503133,0.02821011673151751,0.02543372431131701,0.001716887071131107,8,0.024569240587109124,0.027096774193548386,0.02489582220322684,0.026269315673289183,0.027727106895293688,0.026111651910493437,0.0012216622405691693,0.04581993569131833,0.04917299955297274,0.050960735171261484,0.04598698481561822,0.05456255879586077,0.04930053410834604,0.0032727314929000897,8,0.04770263293753226,0.052452316076294275,0.04833022194565442,0.050947233222733604,0.05360291524626778,0.05060706388569647,0.002285411321928362
Random Forest,85.75389437675476,0.6138936020696946,3.1391490936279296,0.07548073000556782,2,800,"{'classification__max_depth': 2, 'classification__n_estimators': 800}",0.8313713306789022,0.8467864726597019,0.8803674193742207,0.843906849692474,0.859849577121453,0.8524561771807079,0.01663448249261014,5,0.8783080102194445,0.871178600197874,0.869891564546366,0.875320414660322,0.8699452725090528,0.8729287724266118,0.0033420101167426913,0.7887323943661971,0.7887323943661971,0.8591549295774648,0.7464788732394366,0.7857142857142857,0.7937627417087788,0.03640719460679983,2,0.8162544169611308,0.8127208480565371,0.8197879858657244,0.8374558303886925,0.7992957746478874,0.8171029711839944,0.012316391334284969,0.023304203079483977,0.02629107981220657,0.025902335456475585,0.02309368191721133,0.027000490918016692,0.02511831935686968,0.00160765007360885,9,0.024634744587821264,0.027439751849200666,0.02455806076002964,0.025342172797262617,0.027880127732743797,0.025970971545411597,0.0014127561830507794,0.04527081649151172,0.05088596092685143,0.05028854080791427,0.04480135249366019,0.052206929283341245,0.04869064736521024,0.0030515060589041275,9,0.04782608695652174,0.05308713214079631,0.047687564234326824,0.04919564089257914,0.053880845003560406,0.05033545384555688,0.0026362453242656735
Random Forest,6.931201553344726,0.10578866798091233,0.21988072395324706,0.0031674746397110654,10,20,"{'classification__max_depth': 10, 'classification__n_estimators': 20}",0.8385901717662128,0.857832354652313,0.8783172450581126,0.8231369279039129,0.8741360346032077,0.8544021391558626,0.020979334034607857,4,0.9975112255428757,0.9974796528418373,0.9970745847385559,0.9973009246986944,0.998053781538466,0.997484033872086,0.00032451457472987554,0.36619718309859156,0.4788732394366197,0.5352112676056338,0.36619718309859156,0.4142857142857143,0.43215328659348934,0.06606630699308184,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.044596912521440824,0.064030131826742,0.06761565836298933,0.055793991416309016,0.060542797494780795,0.05851585645415617,0.007980899967654026,6,0.12006788290199406,0.13059529303184125,0.12999540652273772,0.13678105364910584,0.14822546972860126,0.13313302116685605,0.009252812244962792,0.07951070336391437,0.11295681063122923,0.12006319115323855,0.09683426443202979,0.10564663023679417,0.10300226533908886,0.014050467709481653,6,0.2143939393939394,0.2310204081632653,0.23008130081300812,0.24064625850340135,0.25818181818181823,0.23486474501108648,0.014379332017320858
Random Forest,67.20749683380127,1.5116828212217166,1.700379991531372,0.036499482715123294,10,200,"{'classification__max_depth': 10, 'classification__n_estimators': 200}",0.8433397178409129,0.8723352496625785,0.8861720944750806,0.8460640023681785,0.8745158077797762,0.864485167223476,0.016846653218951346,2,0.9986665933800088,0.9981913024423943,0.9981114285640754,0.9982039866716326,0.9988676597091655,0.9984081941534553,0.00030155970624964656,0.43661971830985913,0.4788732394366197,0.5492957746478874,0.3380281690140845,0.42857142857142855,0.4462780317593137,0.06899333558107328,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0575139146567718,0.06882591093117409,0.07078039927404718,0.05568445475638051,0.06097560975609756,0.06275609465417327,0.006031487920153574,5,0.12406839105655414,0.1336166194523135,0.13181183046110853,0.1430738119312437,0.1406636948984646,0.1346468695599369,0.006756013829268695,0.10163934426229508,0.12035398230088494,0.12540192926045016,0.09561752988047809,0.10676156583629892,0.10995493627318031,0.011239836769439295,5,0.22074882995319814,0.23573511037067893,0.2329218106995885,0.2503317116320212,0.24663482414242294,0.23727445735958197,0.010512086745438007
Random Forest,261.948841047287,2.560765876208151,6.671927738189697,0.1736477830852528,10,800,"{'classification__max_depth': 10, 'classification__n_estimators': 800}",0.8480496965771323,0.8688826330158665,0.8861647671901768,0.8565698634633732,0.8762489409456428,0.8671829929641566,0.013594999747420594,1,0.9986855278091615,0.9979598612161491,0.9983564731666048,0.9983701684575941,0.9989004493091104,0.9984544959917241,0.0003205099781352245,0.4225352112676056,0.49295774647887325,0.5633802816901409,0.3380281690140845,0.45714285714285713,0.4548088049044541,0.07473745143045048,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.054844606946983544,0.0688976377952756,0.07246376811594203,0.056074766355140186,0.06374501992031872,0.06320514867467157,0.006916123879589312,4,0.12374289462177525,0.13168915774778966,0.13089731729879742,0.14387391967463142,0.14080317302925136,0.13420129247444904,0.00726291542432661,0.09708737864077668,0.12089810017271158,0.12841091492776888,0.09619238476953908,0.11188811188811189,0.11089535757256584,0.012764713774353254,4,0.22023346303501942,0.23273026315789472,0.2314928425357873,0.25155555555555553,0.24684919600173835,0.23657226405719906,0.011292761106675623
Random Forest,8.180020952224732,0.09047168145405221,0.22565994262695313,0.01035323947426048,20,20,"{'classification__max_depth': 20, 'classification__n_estimators': 20}",0.7532888518291102,0.7786544467093897,0.8257835432111972,0.7678423051052125,0.8128045245774931,0.7876742151724667,0.027352804149144098,9,1.0,0.9999829957796443,1.0,0.9999913600177653,1.0,0.9999948711594818,6.815684523516755e-06,0.18309859154929578,0.19718309859154928,0.18309859154929578,0.15492957746478872,0.15714285714285714,0.1750909140105771,0.016400714410233285,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07784431137724551,0.10526315789473684,0.08441558441558442,0.07913669064748201,0.08088235294117647,0.0855085150173619,0.010121169113647596,3,0.36945169712793735,0.3892709766162311,0.4149560117302053,0.3758300132802125,0.4176470588235294,0.39343115151562313,0.01975778899122612,0.1092436974789916,0.13725490196078433,0.11555555555555556,0.10476190476190475,0.10679611650485438,0.11472259898888754,0.011836125970221672,3,0.5395614871306006,0.5603960396039603,0.5865284974093264,0.5463320463320462,0.5892116182572614,0.564405937746639,0.02032102847799864
Random Forest,79.44201984405518,0.899197718758404,1.870054054260254,0.022604795843900374,20,200,"{'classification__max_depth': 20, 'classification__n_estimators': 200}",0.8173483728298413,0.8425828093103414,0.8814408666126402,0.8320014771806368,0.848862166862375,0.8444470473565331,0.021357840741102054,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16901408450704225,0.18309859154929578,0.22535211267605634,0.16901408450704225,0.14285714285714285,0.17786792643318855,0.027072469036592973,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0759493670886076,0.10077519379844961,0.10191082802547771,0.08823529411764706,0.07246376811594203,0.08786720841638242,0.012192346682459275,1,0.385558583106267,0.41863905325443784,0.43538461538461537,0.3709043250327654,0.44936708860759494,0.41197073307713616,0.029581126825752993,0.10480349344978165,0.13,0.14035087719298245,0.11594202898550725,0.09615384615384616,0.11745048907881403,0.01611003979957269,1,0.5565388397246804,0.5901981230448383,0.6066452304394427,0.5411089866156787,0.6200873362445415,0.5829157032138363,0.029804009405982303
Random Forest,233.94372596740723,18.6672056972829,4.589861583709717,0.7664435948535401,20,800,"{'classification__max_depth': 20, 'classification__n_estimators': 800}",0.8260517218386796,0.8644818657025913,0.8844978098745423,0.8377292157900059,0.86906000564829,0.8563638615079808,0.0213762461520085,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19718309859154928,0.18309859154929578,0.2112676056338028,0.14084507042253522,0.15714285714285714,0.17790787360864976,0.02575348841733811,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08383233532934131,0.104,0.09803921568627451,0.06711409395973154,0.08029197080291971,0.08665565460956388,0.013120713196114079,2,0.3670557717250324,0.4211309523809524,0.45063694267515925,0.3618925831202046,0.4382716049382716,0.40779757096792413,0.036630096067166426,0.11764705882352942,0.1326530612244898,0.13392857142857142,0.09090909090909093,0.10628019323671496,0.11628380176791106,0.016279522062918796,2,0.5370018975332068,0.5926701570680628,0.6212952799121844,0.5314553990610329,0.6094420600858369,0.5783729587320647,0.037215176218536594
