algorithm,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_RECALL,split1_test_RECALL,split2_test_RECALL,split3_test_RECALL,split4_test_RECALL,mean_test_RECALL,std_test_RECALL,rank_test_RECALL,split0_train_RECALL,split1_train_RECALL,split2_train_RECALL,split3_train_RECALL,split4_train_RECALL,mean_train_RECALL,std_train_RECALL,split0_test_PRECISION,split1_test_PRECISION,split2_test_PRECISION,split3_test_PRECISION,split4_test_PRECISION,mean_test_PRECISION,std_test_PRECISION,rank_test_PRECISION,split0_train_PRECISION,split1_train_PRECISION,split2_train_PRECISION,split3_train_PRECISION,split4_train_PRECISION,mean_train_PRECISION,std_train_PRECISION,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1
Adaptive Boosting,11.760378551483154,0.13988952321929726,0.4581414222717285,0.02348252492058921,20,{'classification__n_estimators': 20},0.8489604780906855,0.8632288999840265,0.8625115587919359,0.8555535690472039,0.8752538014477459,0.861101369127095,0.008774656110372831,1,0.916999459173878,0.907342992220707,0.9141862258094284,0.9120714982427747,0.910595034152475,0.9122390419198526,0.003260528564870332,0.6901408450704225,0.7183098591549296,0.7887323943661971,0.7183098591549296,0.7714285714285715,0.737383602571865,0.03675669099753168,1,0.833922261484099,0.8056537102473498,0.8409893992932862,0.8268551236749117,0.8204225352112676,0.8255686059821828,0.012102269794304772,0.030472636815920398,0.02992957746478873,0.032165422171166,0.03305249513933895,0.03368683718028696,0.0318613560455389,0.0014494021043139048,6,0.03763955342902711,0.034106207928197456,0.034393063583815026,0.03510877719429858,0.03503759398496241,0.035257039224060115,0.0012503902077171767,0.05836807623585468,0.057464788732394356,0.06181015452538631,0.06319702602230483,0.06455469216975493,0.06107887573758455,0.002739058782109926,6,0.07202807874256066,0.06544202066590127,0.06608357628765792,0.06735751295336788,0.06720507643495818,0.06762325301688918,0.002314145981052432
Adaptive Boosting,29.397724866867065,0.16879245261931938,1.0504917621612548,0.017409558405909298,50,{'classification__n_estimators': 50},0.8069751355914072,0.8622426474359632,0.8226394052589389,0.8265118753306437,0.8845125377171992,0.840575412662512,0.02845447705124537,2,0.9422524727812985,0.9349986562070185,0.9367800091399983,0.9390900554539796,0.9369676727517325,0.9380177732668056,0.002483236114953338,0.6338028169014085,0.704225352112676,0.7183098591549296,0.6338028169014085,0.7285714285714285,0.6837415286821011,0.04150179902361328,2,0.872791519434629,0.8586572438162544,0.8833922261484098,0.872791519434629,0.8661971830985915,0.8707659383865028,0.008186856648163805,0.032420749279538905,0.03351206434316354,0.03265044814340589,0.034013605442176874,0.036298932384341634,0.03377910786678983,0.0013852342879108167,5,0.04495813614852567,0.04019186238835594,0.04085634907664651,0.04320447787301032,0.04205128205128205,0.0422524215075641,0.0017007458504017556,0.06168608636052091,0.06397952655150352,0.062461726883037354,0.06456241032998565,0.06915254237288135,0.06436835967325444,0.00260405169083845,5,0.08551151116496453,0.07678938220887976,0.07810059356451109,0.08233333333333334,0.08020867297032931,0.08058869864840361,0.003099926614911795
Adaptive Boosting,60.00221815109253,0.47991527552791163,2.145448398590088,0.08085639263961279,100,{'classification__n_estimators': 100},0.7945187512547974,0.8499269469695082,0.8233757973917797,0.8238330199697823,0.836034603207634,0.8255376069234125,0.018301904264473222,3,0.9615597079759536,0.9556925166356423,0.9551027459334177,0.9583483920257743,0.9568012133251073,0.9575009151791791,0.00231097899950808,0.5774647887323944,0.676056338028169,0.7323943661971831,0.5774647887323944,0.6285714285714286,0.6383905448847105,0.05962566260566692,3,0.9257950530035336,0.9081272084805654,0.9222614840989399,0.9222614840989399,0.9190140845070423,0.9194918628378043,0.00607380360101429,0.03477523324851569,0.03779527559055118,0.039816232771822356,0.03537532355478861,0.03621399176954732,0.036795223393482214,0.0018199568791489617,4,0.05670995670995671,0.05018551064245265,0.04957264957264957,0.053703703703703705,0.05248341041624774,0.05253104620900208,0.0025727158994164243,0.06559999999999999,0.07158836689038031,0.0755265068990559,0.06666666666666668,0.06848249027237355,0.06957282866869458,0.003603550478199078,4,0.10687334285131551,0.09511472982975573,0.09408795962509012,0.1014971806338713,0.09929617652653605,0.09937387789331374,0.004622503669060849
Adaptive Boosting,120.73312768936157,1.2813870429624037,4.242906856536865,0.10022575932560172,200,{'classification__n_estimators': 200},0.7933544456835698,0.8507944975021287,0.8053726583829269,0.8206910802029952,0.8281448340443243,0.8196713281269171,0.019690377118927335,4,0.9777837563186763,0.9727048254852269,0.9738804145573774,0.9754730206444102,0.9761155241719801,0.9751915082355342,0.0017638232646889533,0.4788732394366197,0.6197183098591549,0.676056338028169,0.5070422535211268,0.5285714285714286,0.5620530055085204,0.07401157942207633,4,0.9858657243816255,0.9469964664310954,0.9717314487632509,0.9681978798586572,0.9683098591549296,0.9682202757179118,0.012443060733661353,0.03556485355648536,0.04150943396226415,0.046242774566473986,0.03982300884955752,0.039319872476089264,0.040492012894948665,0.0034700399396614978,3,0.073537163943068,0.062180974477958235,0.06666666666666667,0.0701484895033282,0.07174536916253588,0.0688557327507114,0.00403190835567351,0.06621226874391431,0.07780725022104333,0.08656447249774572,0.07384615384615385,0.07319485657764589,0.07552504851181692,0.0066641983995769545,3,0.13686534216335539,0.11669932505987371,0.12477313974591651,0.13081881117211744,0.13359242166626184,0.128549807961505,0.007133324686565255
Adaptive Boosting,242.46118154525757,1.740671019023591,8.21110553741455,0.5773822124366932,400,{'classification__n_estimators': 400},0.7441048329305768,0.8413437654330937,0.7864594705890111,0.7903253461043025,0.8032076341097254,0.793088000793199,0.03124751662943983,5,0.9897866218515076,0.9872954576120634,0.9867781616544352,0.9877798481054357,0.9883237883235317,0.9879927755093949,0.00103289218490503,0.38028169014084506,0.4788732394366197,0.5211267605633803,0.4225352112676056,0.5,0.460562565626983,0.05186488128619731,5,1.0,0.9964664310954063,0.9858657243816255,0.9964664310954063,0.9929577464788732,0.9943512666102622,0.004791708584155188,0.0380818053596615,0.04271356783919598,0.04573547589616811,0.04398826979472141,0.04847645429362881,0.04379901801539282,0.003450443104654039,2,0.10168882500898312,0.0860280658938377,0.08754314402259178,0.09798471160528145,0.09418837675350701,0.09348662465684021,0.005982581277148763,0.06923076923076923,0.0784313725490196,0.08409090909090909,0.0796812749003984,0.08838383838383838,0.07996345889214183,0.00641175643010584,2,0.18460534898891065,0.15838247683235043,0.16080691642651299,0.17842454919329326,0.1720561317876754,0.17085508464574856,0.010043313273112586
Adaptive Boosting,389.7012845993042,29.8335699121796,11.279112005233765,2.053243665100289,800,{'classification__n_estimators': 800},0.7317114632441407,0.8370104091409345,0.7827298825729321,0.7405115324137101,0.7872749973988139,0.7758474208959261,0.037724289749967096,6,0.996962035182743,0.9957867218547064,0.9958846110151317,0.9964681774747941,0.9965794402247425,0.9963361971504234,0.00044138699122511717,0.29577464788732394,0.4084507042253521,0.39436619718309857,0.29577464788732394,0.35714285714285715,0.3503016695475379,0.04757397563317724,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.045064377682403435,0.0562015503875969,0.053231939163498096,0.046255506607929514,0.04940711462450593,0.05003211060365939,0.004186511389219124,1,0.15061202767429482,0.13412322274881516,0.13450570342205323,0.14249748237663645,0.1470740548938374,0.14176249822312742,0.006604341118332373,0.07821229050279328,0.09880749574105621,0.09380234505862646,0.08000000000000002,0.08680555555555555,0.08752555224449804,0.007881318610072154,1,0.2617946345975948,0.2365231926452152,0.23711772098868875,0.24944909651828998,0.2564334085778781,0.24826361066553337,0.01013220464919516
