algorithm,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classification__max_depth,param_classification__n_estimators,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_train_AUC,split1_train_AUC,split2_train_AUC,split3_train_AUC,split4_train_AUC,mean_train_AUC,std_train_AUC,split0_test_RECALL,split1_test_RECALL,split2_test_RECALL,split3_test_RECALL,split4_test_RECALL,mean_test_RECALL,std_test_RECALL,rank_test_RECALL,split0_train_RECALL,split1_train_RECALL,split2_train_RECALL,split3_train_RECALL,split4_train_RECALL,mean_train_RECALL,std_train_RECALL,split0_test_PRECISION,split1_test_PRECISION,split2_test_PRECISION,split3_test_PRECISION,split4_test_PRECISION,mean_test_PRECISION,std_test_PRECISION,rank_test_PRECISION,split0_train_PRECISION,split1_train_PRECISION,split2_train_PRECISION,split3_train_PRECISION,split4_train_PRECISION,mean_train_PRECISION,std_train_PRECISION,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_train_F1,split1_train_F1,split2_train_F1,split3_train_F1,split4_train_F1,mean_train_F1,std_train_F1
Random Forest,2.687411737442017,0.08671224077039004,0.15624480247497557,0.01397441196304036,2,20,"{'classification__max_depth': 2, 'classification__n_estimators': 20}",0.8436105348488547,0.8449790366444686,0.8722243166207594,0.8457539778534737,0.8525617136642889,0.8518260151332616,0.010657339828571099,8,0.871193744150089,0.8679742840907481,0.861170885231147,0.8747225273093873,0.8630576421338451,0.8676238165830433,0.0050149611447550995,0.813953488372093,0.8255813953488372,0.8488372093023255,0.7790697674418605,0.8023255813953488,0.8139543530933674,0.023255705847001304,3,0.8401162790697675,0.8401162790697675,0.8343023255813954,0.8604651162790697,0.8284883720930233,0.8406976744186047,0.01078327732034382,0.0258493353028065,0.026611694152923537,0.02724897349757372,0.024416909620991252,0.02593010146561443,0.026011433963528282,0.0009452136655395762,9,0.027080209895052474,0.027544796035074343,0.026697674418604652,0.026568530652544654,0.026790750141003947,0.026936392228456014,0.0003476661221754398,0.05010737294201861,0.05156136528685548,0.05280289330922243,0.04734982332155476,0.050236621769202766,0.05041167550249351,0.0018186606304717336,9,0.05246913580246913,0.05334071613141381,0.05173967910582297,0.05154549412276883,0.05190311418685121,0.05219962786986519,0.0006483951164574428
Random Forest,25.032772970199584,0.24107616554436218,0.9197282314300537,0.010856472177069854,2,200,"{'classification__max_depth': 2, 'classification__n_estimators': 200}",0.8494424662668665,0.84624511871971,0.881974891914508,0.8482329852915858,0.8653947996417154,0.858258106065096,0.013681881939994244,5,0.8790928606296493,0.8772249751838466,0.8703560968195008,0.8788556752477881,0.8715732854782323,0.8754205786718036,0.003714620610144105,0.8255813953488372,0.813953488372093,0.8837209302325582,0.7790697674418605,0.813953488372093,0.8232568083829538,0.03402039823190479,1,0.8430232558139535,0.8401162790697675,0.8401162790697675,0.8546511627906976,0.8255813953488372,0.8406976744186047,0.009265917122389068,0.025912408759124088,0.025868440502586843,0.027972027972027972,0.024551117625503847,0.028854080791426217,0.026631612490731756,0.0015597316547253685,8,0.026742899299151603,0.026921285514671635,0.02651862727105891,0.026790595954073265,0.029218106995884775,0.02723830300696804,0.0009983910585275551,0.0502476999292286,0.050143266475644696,0.05422761327149482,0.047602131438721135,0.05573248407643312,0.05159063618753035,0.0029635667199267167,8,0.05184125849124061,0.05217077353551765,0.05141433908557196,0.051952641809506976,0.05643879173290938,0.05276356093094932,0.0018540415067476565
Random Forest,101.41805438995361,2.251505168963612,3.5076268196105955,0.1513551115771741,2,800,"{'classification__max_depth': 2, 'classification__n_estimators': 800}",0.8495307215578257,0.8469653254767964,0.883339580209895,0.8471411323452174,0.8655865821951693,0.8585127482562552,0.01421101691980965,4,0.8779167152456718,0.8770291155315886,0.8702501310271109,0.8777176592623102,0.8706058254759769,0.8747038893085317,0.0035054764820226024,0.8255813953488372,0.813953488372093,0.872093023255814,0.7790697674418605,0.8023255813953488,0.8186056888283201,0.030852346427041013,2,0.8459302325581395,0.8430232558139535,0.8401162790697675,0.8604651162790697,0.8226744186046512,0.8424418604651164,0.012112015497674202,0.02551203736974488,0.02697495183044316,0.02763448784082535,0.023937120400142908,0.029754204398447608,0.026762557277936718,0.001964757699960492,7,0.026430517711171664,0.028749876078120355,0.026680206794682422,0.026402640264026403,0.030594594594594595,0.027771567088519085,0.0016607235864800826,0.04949459742070408,0.05221932114882507,0.05357142857142857,0.04644714038128249,0.057380457380457384,0.05182258558908045,0.0036991273677698154,7,0.0512594680288885,0.05560348959831272,0.05171796707229778,0.051233232366940724,0.05899520533666875,0.0537618724806217,0.003085868583498027
Random Forest,7.907988023757935,0.06546498654395487,0.23749179840087892,0.0062480211919801526,10,20,"{'classification__max_depth': 10, 'classification__n_estimators': 20}",0.8568346640633171,0.853543068581988,0.8758329774066456,0.8390884444473503,0.8534514321580114,0.8557504698330995,0.011766590959201276,6,0.9953657672195775,0.9956778078755738,0.9963511265062669,0.9958362071454683,0.9953819132887798,0.9957225644071332,0.00036148459138502176,0.47674418604651164,0.5,0.5930232558139535,0.43023255813953487,0.46511627906976744,0.4930249420204386,0.05483661966093943,6,1.0,0.997093023255814,1.0,0.997093023255814,1.0,0.9988372093023254,0.0014241219434785943,0.059506531204644414,0.06913183279742766,0.07956318252730109,0.05958132045088567,0.06339144215530904,0.06623503838993516,0.007532162175774059,6,0.122202486678508,0.1314176245210728,0.13765506202480993,0.12596401028277635,0.1328698339127076,0.13002180348397493,0.005402474074158499,0.10580645161290322,0.12146892655367232,0.14030261348005502,0.10466760961810467,0.11157601115760112,0.11676464383912245,0.013187301761153779,6,0.21779044001266223,0.2322274881516588,0.2419978895532888,0.22367134007173134,0.2345721104670985,0.23005185365128797,0.008472627678452086
Random Forest,85.93627028465271,1.8068872349929013,2.096816396713257,0.05385239223336889,10,200,"{'classification__max_depth': 10, 'classification__n_estimators': 200}",0.8698245354067152,0.8780083068930651,0.8919853300094138,0.8573960505870071,0.8797349042067939,0.8753900791704325,0.011453277684196224,2,0.9970534563371902,0.9964447659436294,0.9974046553033564,0.9969898860880797,0.9974573572587048,0.9970700241861922,0.0003632215224677516,0.5232558139534884,0.5,0.627906976744186,0.4069767441860465,0.46511627906976744,0.5046537137184571,0.07302468125125984,5,1.0,0.997093023255814,1.0,1.0,1.0,0.9994186046511627,0.0011627906976744208,0.06578947368421052,0.07202680067001675,0.07448275862068965,0.06118881118881119,0.06932409012131716,0.06856250978168378,0.004683818804083422,5,0.12246351014595942,0.13503937007874015,0.1246376811594203,0.13887767460637868,0.14447711045779085,0.1330990692896579,0.008382446835762326,0.11688311688311687,0.1259150805270864,0.13316892725030827,0.10638297872340427,0.12066365007541476,0.12060301392665056,0.008968468072777201,5,0.2182048842372344,0.2378640776699029,0.2216494845360825,0.24388514711095355,0.2524770642201835,0.23481613155487135,0.013059400387846065
Random Forest,311.78004298210146,3.271390523348813,7.50644588470459,0.04089342567187524,10,800,"{'classification__max_depth': 10, 'classification__n_estimators': 800}",0.872736960008368,0.8766735818137442,0.8959579076740699,0.858013350680937,0.8804322953102628,0.8767630994572632,0.012244741698361025,1,0.9969397950855845,0.9966953791287159,0.9974945491632243,0.996926927810384,0.9975364211423227,0.9971186144660462,0.0003357789781497362,0.4883720930232558,0.5232558139534884,0.6395348837209303,0.43023255813953487,0.46511627906976744,0.5093046170927725,0.07183025135540631,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.06296851574212893,0.07575757575757576,0.07879656160458452,0.06457242582897033,0.0690846286701209,0.07023606821861135,0.006164300917406313,4,0.12486388384754991,0.13634562029330163,0.12807148175725985,0.13848631239935588,0.14459857082807903,0.13447317382510926,0.007147798495543786,0.11155378486055777,0.1323529411764706,0.1403061224489796,0.11229135053110773,0.12030075187969923,0.1233612528750934,0.01130766357699903,4,0.22200709906421426,0.23997209626787586,0.22706270627062702,0.2432814710042433,0.25266250459052514,0.2369971754394971,0.011109825646645427
Random Forest,10.172665357589722,0.2508360039029345,0.2660327434539795,0.010278025279210639,20,20,"{'classification__max_depth': 20, 'classification__n_estimators': 20}",0.7870672222028521,0.8075658754924863,0.829097442557791,0.8103368616964475,0.8158947418890145,0.8099923126312928,0.013648751782905756,9,0.9999834513576152,0.9999271655430843,0.9999601947264448,0.999963566599711,0.9999696274831236,0.9999608011419957,1.8602717950043105e-05,0.313953488372093,0.22093023255813954,0.2441860465116279,0.20930232558139536,0.18604651162790697,0.23488510448427155,0.043755720572065115,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1377551020408163,0.12837837837837837,0.1346153846153846,0.1016949152542373,0.07881773399014778,0.11625326946463625,0.022626641581488995,3,0.3891402714932127,0.41445783132530123,0.4956772334293948,0.38478747203579416,0.3624868282402529,0.4093099273047912,0.04623068443579534,0.19148936170212766,0.1623931623931624,0.1735537190082645,0.13688212927756657,0.1107266435986159,0.15501016347767413,0.028350295848492288,3,0.5602605863192183,0.5860306643952301,0.6628131021194604,0.555735056542811,0.5320959010054138,0.5793870620764268,0.0450904312801065
Random Forest,94.21132907867431,0.8111748707185532,2.2366215705871584,0.1403584237474064,20,200,"{'classification__max_depth': 20, 'classification__n_estimators': 200}",0.8500237526585546,0.8474910437223249,0.8756161526794741,0.8418687466356327,0.8624717502119414,0.8554944127794422,0.012109615597380252,7,0.9999960501182785,0.9999997956957731,0.9999904658027413,0.9999963226100643,1.0,0.9999965268453714,3.4569756889087435e-06,0.313953488372093,0.22093023255813954,0.23255813953488372,0.16279069767441862,0.20930232558139536,0.22790853324247995,0.049113328927123126,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13043478260869565,0.12837837837837837,0.11764705882352941,0.1076923076923077,0.1111111111111111,0.11905308657676152,0.009062236634389011,2,0.36909871244635195,0.44387096774193546,0.479108635097493,0.4371029224904701,0.4190012180267966,0.4296364911606094,0.03601053354880147,0.18430034129692832,0.1623931623931624,0.15625,0.12962962962962965,0.14516129032258066,0.15554755965315537,0.018186153288482436,2,0.5391849529780565,0.6148346738159071,0.647834274952919,0.6083112290008842,0.590557939914163,0.6001446141323858,0.035678508409714337
Random Forest,279.44004278182985,23.553001723643234,5.289269065856933,1.03766129628509,20,800,"{'classification__max_depth': 20, 'classification__n_estimators': 800}",0.8560474486593912,0.8676464819915624,0.8832257199888427,0.8425269094895315,0.8662191377194877,0.8631334652972846,0.013479039929464138,3,0.9999940751774177,1.0,0.9999906701069683,0.9999954373124872,1.0,0.9999960365193747,3.589502768248581e-06,0.3372093023255814,0.22093023255813954,0.23255813953488372,0.1511627906976744,0.20930232558139536,0.2302344172902748,0.06037569698537301,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1407766990291262,0.13194444444444445,0.12121212121212122,0.09701492537313433,0.11392405063291139,0.12097502465950968,0.015074996180615858,1,0.36909871244635195,0.43107769423558895,0.4811188811188811,0.42946317103620474,0.43434343434343436,0.4290203786360922,0.03560231333650335,0.19863013698630136,0.16521739130434782,0.15936254980079684,0.11818181818181818,0.14754098360655737,0.15778750276911827,0.026074420490128234,1,0.5391849529780565,0.6024518388791593,0.6496694995278565,0.6008733624454149,0.6056338028169015,0.5995626913294777,0.0352223989622868
